,wbanno,utc_date,utc_time,lst_date,lst_time,crx_vn,longitude,latitude,air_temperature,precipitation,solar_radiation,sr_flag,surface_temperature,st_type,st_flag,relative_humidity,rh_flag,soil_moisture_5,soil_temperature_5,wetness,wet_flag,wind_1_5,wind_flag
0,23583,20220101,5,20211231,1505,3,-158.61,59.28,-8.3,0.0,21,0,-8.5,C,0,82,0,-99.0,-9999.0,1000,0,1.79,0
1,23583,20220101,10,20211231,1510,3,-158.61,59.28,-8.3,0.0,17,0,-8.5,C,0,82,0,-99.0,-9999.0,1000,0,2.21,0
2,23583,20220101,15,20211231,1515,3,-158.61,59.28,-8.3,0.0,14,0,-8.7,C,0,82,0,-99.0,-9999.0,1000,0,1.61,0
3,23583,20220101,20,20211231,1520,3,-158.61,59.28,-8.3,0.0,11,0,-9.0,C,0,82,0,-99.0,-9999.0,1001,0,2.08,0
4,23583,20220101,25,20211231,1525,3,-158.61,59.28,-8.4,0.0,10,0,-9.1,C,0,83,0,-99.0,-9999.0,1000,0,2.31,0
5,23583,20220101,30,20211231,1530,3,-158.61,59.28,-8.4,0.0,10,0,-9.2,C,0,83,0,-99.0,-9999.0,1000,0,2.45,0
6,23583,20220101,35,20211231,1535,3,-158.61,59.28,-8.4,0.0,9,0,-9.1,C,0,83,0,-99.0,-9999.0,1000,0,2.5,0
7,23583,20220101,40,20211231,1540,3,-158.61,59.28,-8.5,0.0,7,0,-9.1,C,0,83,0,-99.0,-9999.0,1000,0,2.76,0
8,23583,20220101,45,20211231,1545,3,-158.61,59.28,-8.5,0.0,6,0,-8.9,C,0,84,0,-99.0,-9999.0,1000,0,2.28,0
9,23583,20220101,50,20211231,1550,3,-158.61,59.28,-8.5,0.0,4,0,-8.8,C,0,84,0,-99.0,-9999.0,1000,0,1.37,0
10,23583,20220101,55,20211231,1555,3,-158.61,59.28,-8.6,0.0,2,0,-8.9,C,0,84,0,-99.0,-9999.0,1001,0,1.76,0
11,23583,20220101,100,20211231,1600,3,-158.61,59.28,-8.6,0.0,3,0,-9.2,C,0,83,0,-99.0,-9999.0,1000,0,2.17,0
12,23583,20220101,105,20211231,1605,3,-158.61,59.28,-8.7,0.0,2,0,-9.3,C,0,83,0,-99.0,-9999.0,1001,0,1.69,0
13,23583,20220101,110,20211231,1610,3,-158.61,59.28,-8.7,0.0,1,0,-9.2,C,0,83,0,-99.0,-9999.0,1001,0,1.65,0
14,23583,20220101,115,20211231,1615,3,-158.61,59.28,-8.7,0.0,0,0,-9.6,C,0,83,0,-99.0,-9999.0,1001,0,1.5,0
15,23583,20220101,120,20211231,1620,3,-158.61,59.28,-8.7,0.0,0,0,-9.9,C,0,83,0,-99.0,-9999.0,1001,0,1.91,0
16,23583,20220101,125,20211231,1625,3,-158.61,59.28,-8.7,0.0,0,0,-10.0,C,0,83,0,-99.0,-9999.0,1000,0,2.07,0
17,23583,20220101,130,20211231,1630,3,-158.61,59.28,-8.8,0.0,0,0,-10.2,C,0,82,0,-99.0,-9999.0,1001,0,1.9,0
18,23583,20220101,135,20211231,1635,3,-158.61,59.28,-8.8,0.0,0,0,-10.3,C,0,82,0,-99.0,-9999.0,1001,0,1.66,0
19,23583,20220101,140,20211231,1640,3,-158.61,59.28,-8.8,0.0,0,0,-9.9,C,0,83,0,-99.0,-9999.0,1000,0,1.88,0
20,23583,20220101,145,20211231,1645,3,-158.61,59.28,-8.8,0.0,0,0,-9.7,C,0,83,0,-99.0,-9999.0,1001,0,1.73,0
21,23583,20220101,150,20211231,1650,3,-158.61,59.28,-8.9,0.0,0,0,-10.1,C,0,83,0,-99.0,-9999.0,1000,0,1.71,0
22,23583,20220101,155,20211231,1655,3,-158.61,59.28,-8.9,0.0,0,0,-10.1,C,0,83,0,-99.0,-9999.0,1000,0,2.36,0
